epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,175.221,1.88368,0.89434,0.98597,0.63127,0.66667,0.61626,0.17024,2.85916,1.49348,1.36294,0.00161089,0.00161089,0.00161089
70,177.705,1.71647,0.78972,0.90708,0.72395,0.45833,0.50571,0.16577,2.83659,1.61315,1.27747,0.00161006,0.00161006,0.00161006
71,180.197,1.8498,0.86022,0.92837,0.68081,0.54167,0.61531,0.17416,2.9028,1.36133,1.32761,0.00160924,0.00160924,0.00160924
72,182.719,1.78014,0.79151,0.9478,0.85516,0.73843,0.76375,0.21533,2.73928,1.32663,1.27178,0.00160841,0.00160841,0.00160841
73,185.29,1.85945,0.81194,0.97222,0.82245,0.70833,0.72379,0.18094,2.78562,1.35523,1.27249,0.00160759,0.00160759,0.00160759
74,187.855,1.72496,0.8655,0.92041,0.85305,0.79167,0.81568,0.23242,2.67539,1.21902,1.26629,0.00160676,0.00160676,0.00160676
75,190.339,1.6953,0.76793,0.92764,0.42722,0.83333,0.44096,0.13263,2.58956,1.79252,1.31095,0.00160594,0.00160594,0.00160594
76,192.846,1.71508,0.78659,0.93208,0.39873,0.79167,0.51849,0.13544,2.59399,1.92349,1.27678,0.00160511,0.00160511,0.00160511
77,195.444,1.8506,0.81723,0.94656,0.5227,0.66667,0.66409,0.16638,2.87937,1.63032,1.44711,0.00160429,0.00160429,0.00160429
78,197.965,1.86308,0.81764,0.951,0.73118,0.70833,0.66468,0.17745,2.90411,1.36675,1.42826,0.00160346,0.00160346,0.00160346
79,200.549,1.84391,0.84693,0.98235,0.65183,0.70227,0.65625,0.1883,2.80617,1.19426,1.32175,0.00160264,0.00160264,0.00160264
80,203.065,1.76883,0.81333,0.9242,0.59988,0.58333,0.57762,0.15116,2.83932,1.15,1.31828,0.00160181,0.00160181,0.00160181
81,205.59,1.67323,0.77932,0.88404,0.77959,0.79167,0.75248,0.18743,2.64105,1.13509,1.25779,0.00160099,0.00160099,0.00160099
82,208.098,1.72596,0.762,0.92846,0.63692,0.70833,0.57007,0.157,2.63643,1.19438,1.26716,0.00160016,0.00160016,0.00160016
83,210.555,1.58675,0.75439,0.87307,0.77969,0.79167,0.76179,0.19629,2.72184,1.13644,1.32254,0.00159934,0.00159934,0.00159934
84,213.066,1.82956,0.7883,0.92123,0.63594,0.58333,0.61447,0.15175,3.00413,1.37172,1.41055,0.00159851,0.00159851,0.00159851
85,215.605,1.74201,0.78711,0.93252,0.41391,0.35361,0.27694,0.075,3.11583,1.45046,1.49137,0.00159769,0.00159769,0.00159769
86,218.102,1.68109,0.76579,0.92783,0.45591,0.54167,0.4232,0.11817,2.9455,1.36735,1.48431,0.00159686,0.00159686,0.00159686
87,220.745,1.74581,0.81666,0.93635,0.54286,0.54167,0.42891,0.10066,3.00407,1.2632,1.47405,0.00159604,0.00159604,0.00159604
88,223.338,1.71389,0.79938,0.93156,0.57765,0.58333,0.50524,0.11435,2.89444,1.47763,1.39706,0.00159521,0.00159521,0.00159521
89,225.82,1.7845,0.79844,0.93948,0.27454,0.58333,0.36647,0.11063,2.91409,1.6976,1.36064,0.00159439,0.00159439,0.00159439
90,228.369,1.81038,0.81597,0.95435,0.63893,0.625,0.57685,0.157,2.75611,1.51188,1.32147,0.00159356,0.00159356,0.00159356
